"","Country","Year","EPI","EPInormalized"
"1","Afghanistan","2018",37.74,-1.45602556299601
"2","Albania","2018",65.46,0.705915024173642
"3","Algeria","2018",57.18,0.0601405630710189
"4","Angola","2018",37.44,-1.47942318839828
"5","Antigua and Barbuda","2018",59.18,0.216124732419479
"6","Argentina","2018",59.3,0.225483782580386
"7","Armenia","2018",62.07,0.441521857128003
"8","Australia","2018",74.12,1.38132647745247
"9","Austria","2018",78.97,1.75958808812249
"10","Azerbaijan","2018",62.33,0.461799799143303
"11","Bahamas","2018",54.99,-0.110662102365544
"12","Bahrain","2018",55.15,-0.0981833688176678
"13","Bangladesh","2018",29.56,-2.09400081563121
"14","Barbados","2018",55.76,-0.0506081971663876
"15","Belarus","2018",64.98,0.668478823530012
"16","Belgium","2018",77.38,1.63558067349046
"17","Belize","2018",57.79,0.107715734722299
"18","Benin","2018",38.17,-1.42248896658609
"19","Bhutan","2018",47.22,-0.716660600284311
"20","Bolivia","2018",55.98,-0.0334499385380572
"21","Bosnia and Herzegovina","2018",41.84,-1.13625801583167
"22","Botswana","2018",51.7,-0.367256060943761
"23","Brazil","2018",60.7,0.334672701124308
"24","Brunei Darussalam","2018",63.57,0.558509984139348
"25","Bulgaria","2018",67.85,0.892316106545051
"26","Burkina Faso","2018",42.83,-1.05904585200418
"27","Burundi","2018",27.43,-2.26012395598732
"28","Cabo Verde","2018",56.94,0.0414224627492036
"29","Cambodia","2018",43.23,-1.02784901813449
"30","Cameroon","2018",40.81,-1.21658986304612
"31","Canada","2018",72.18,1.23002183318447
"32","Central African Republic","2018",36.42,-1.55897511476599
"33","Chad","2018",45.34,-0.863285719471862
"34","Chile","2018",57.49,0.0843181093200303
"35","China","2018",50.74,-0.442128462231021
"36","Colombia","2018",65.22,0.687196923851827
"37","Comoros","2018",44.24,-0.949077012613515
"38","Costa Rica","2018",67.85,0.892316106545051
"39","Côte d'Ivoire","2018",45.25,-0.870305007092543
"40","Croatia","2018",65.45,0.7051351033269
"41","Cuba","2018",63.42,0.546811171438213
"42","Cyprus","2018",72.6,1.26277850874764
"43","Czech Republic","2018",67.68,0.879057452150433
"44","Dem. Rep. Congo","2018",30.41,-2.02770754365811
"45","Denmark","2018",81.6,1.96470727081571
"46","Djibouti","2018",40.04,-1.27664376824528
"47","Dominica","2018",59.38,0.231723149354325
"48","Dominican Republic","2018",64.71,0.647420960667969
"49","Ecuador","2018",57.42,0.0788586633928342
"50","Egypt","2018",61.21,0.374448664308165
"51","El Salvador","2018",53.91,-0.194893553813713
