Country,2018,2016,2014,2012,2010,2008,2006,2018 normalized,2016 normalized,2014 normalized,2012 normalized,2010 normalized,2008 normalized,2006 normalized
Afghanistan,37.74,37.5,21.57,NA,NA,NA,NA,-1.456025563,-2.027829808,-1.773326264,NA,NA,NA,NA
Albania,65.46,74.38,54.73,65.85,71.4,84.0,68.9,0.705915024,0.475656333,0.246449395,1.328144492,1.050077304,0.947186211,0.314977019
Algeria,57.18,70.28,50.08,48.56,67.4,77.0,66.2,0.060140563,0.197340357,-0.036782113,-0.444518225,0.725584887,0.399520192,0.123689606
Angola,37.44,51.32,28.69,47.57,36.3,39.5,39.3,-1.479423188,-1.089701324,-1.339647051,-0.546018288,-1.786809358,-2.542822003,-1.78209981
Antigua and Barbuda,59.18,62.55,48.89,NA,69.8,NA,NA,0.216124732,-0.327387079,-0.109265015,NA,0.918082059,NA,NA
Argentina,59.3,79.84,49.55,56.48,61.0,81.8,77.7,0.225483783,0.846291754,-0.069064414,0.367482279,0.210748021,0.777048687,0.938432293
Armenia,62.07,81.6,61.67,47.48,60.4,77.8,63.8,0.441521857,0.965763977,0.669164808,-0.555245566,0.161968166,0.46074526,-0.046343651
Australia,74.12,87.22,82.4,56.61,65.7,79.8,80.1,1.381326477,1.34726051,1.931829145,0.38081057,0.583502542,0.623469604,1.108465549
Austria,78.97,86.64,78.32,68.92,78.1,89.4,85.2,1.759588088,1.307888981,1.683316338,1.642897212,1.592761278,1.377429936,1.469786219
Azerbaijan,62.33,83.78,55.47,43.11,59.1,72.2,55.7,0.461799799,1.113746618,0.291522797,-1.003281198,0.051344046,0.022546043,-0.620205891
Bahamas,54.99,69.34,46.58,NA,NA,NA,NA,-0.110662102,0.133531329,-0.249967119,NA,NA,NA,NA
Bahrain,55.15,70.07,51.83,NA,42.0,NA,NA,-0.098183369,0.183085149,0.06981039,NA,-1.332844172,NA,NA
Bangladesh,29.56,41.77,25.61,42.55,44.0,58.0,43.5,-2.094000816,-1.737973901,-1.527249857,-1.060695375,-1.17180689,-1.090218958,-1.484541611
Barbados,55.76,54.96,45.5,NA,NA,NA,NA,-0.050608197,-0.842611044,-0.315749921,NA,NA,NA,NA
Belarus,64.98,82.3,67.69,53.88,65.4,80.5,NA,0.668478824,1.013281339,1.035843019,0.100916457,0.560336649,0.674302785,NA
Belgium,77.38,80.15,66.61,63.02,58.1,78.4,75.9,1.635580673,0.867335157,0.970060217,1.037997847,-0.029994072,0.512574357,0.81090735
Belize,57.79,73.55,50.46,NA,69.9,71.7,NA,0.107715735,0.419314318,-0.013636312,NA,0.929053123,-0.01167132,NA
Benin,38.17,43.66,32.42,50.38,39.6,56.1,58.4,-1.422488967,-1.609677025,-1.112452745,-0.257922149,-1.524524587,-1.24052302,-0.428918478
Bhutan,47.22,64.99,46.86,NA,68.0,NA,NA,-0.7166606,-0.161755133,-0.232912319,NA,0.774632854,NA,NA
