"","Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","Region","IncomeGroup","TableName"
"1","Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,405463417.1,487602457.7,596423607.1,695304363,764887117.2,872138730.8,958463200.2,1082979708,1245688253,1320474860,1379960894,1531944134,1665100559,1722798883,1873452514,1920111732,1941340782,2021229050,2228491620,2330726257,2424581006,2615083799,2745251397,2498882682,2390502793,2549720670,2534636872,2581564246,2649720670,2691620112,2646927374,2700558659,NA,NA,"Latin America & Caribbean","High income","Aruba"
"2","Afghanistan","AFG","GDP (current US$)","NY.GDP.MKTP.CD",537777811.1,548888895.6,546666677.8,751111191.1,800000044.4,1006666638,1399999967,1673333418,1373333367,1408888922,1748886596,1831108971,1595555476,1733333264,2155555498,2366666616,2555555567,2953333418,3300000109,3697940410,3641723322,3478787909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4055176933,4515563414,5226775163,6209140044,6971286732,9747886105,10109218068,12439087077,15856574731,17804280538,20001615789,20561054090,20484873230,19907111419,19362642267,20191764940,19362969582,NA,"South Asia","Low income","Afghanistan"
"3","Angola","AGO","GDP (current US$)","NY.GDP.MKTP.CD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5930503401,5550483036,5550483036,5784341596,6131475065,7553560459,7072063345,8083872012,8769250550,10201099040,11228764963,10603784541,8307810974,5768720422,4438321017,5538749260,7526446606,7648377413,6506229607,6152922943,9129594819,8936063723,15285594828,17812705294,23552052408,36970918699,52381006892,65266452081,88538611205,70307163678,83799496611,111790000000,128053000000,136710000000,145712000000,116194000000,101124000000,122124000000,105751000000,NA,"Sub-Saharan Africa","Lower middle income","Angola"
"4","Albania","ALB","GDP (current US$)","NY.GDP.MKTP.CD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1857338012,1897050133,2097326250,2080796250,2051236250,2253090000,2028553750,1099559028,652174990.8,1185315468,1880951520,2392764853,3199642580,2258515610,2545967253,3212119044,3480355189,3922099471,4348070165,5611492283,7184681399,8052075642,8896073938,10677321490,12881353508,12044208086,11926953214,12890866743,12319784886,12776280961,13228247844,11386931490,11861352705,13025062196,15058879129,NA,"Europe & Central Asia","Upper middle income","Albania"
"5","Andorra","AND","GDP (current US$)","NY.GDP.MKTP.CD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78619206.09,89409820.36,113408231.9,150820102.8,186558696.3,220127246.4,227281024.6,254020153.3,308008897.6,411578334.2,446416105.8,388958731.3,375895956.4,327861832.9,330070689.3,346737964.8,482000594,611316399.4,721425939.2,795449332.4,1029048482,1106928583,1210013652,1007025755,1017549124,1178738991,1223945357,1180597273,1211932398,1239876305,1434429703,1496912752,1733116883,2398645598,2935659300,3255789081,3543256806,4016972351,4007353157,3660530703,3355695364,3442062830,3164615187,3281585236,3350736367,2811489409,2877311947,3013387424,3236543909,NA,"Europe & Central Asia","High income","Andorra"
"6","Arab World","ARB","GDP (current US$)","NY.GDP.MKTP.CD",NA,NA,NA,NA,NA,NA,NA,NA,25800420223,28342519494,31922432897,36946286420,44066761651,55776586531,105527000000,116893000000,145249000000,167282000000,183716000000,248663000000,337194000000,347642000000,326100000000,306342000000,310748000000,307598000000,293624000000,313040000000,307889000000,322860000000,446902000000,440649000000,471672000000,477134000000,487662000000,523929000000,578399000000,613432000000,591682000000,644051000000,735188000000,723449000000,729231000000,823341000000,964327000000,1185140000000,1404650000000,1638210000000,2078820000000,1796360000000,2110060000000,2501830000000,2787010000000,2867270000000,2908360000000,2557990000000,2506120000000,2588870000000,2781590000000,NA,"","","Arab World"
"7","United Arab Emirates","ARE","GDP (current US$)","NY.GDP.MKTP.CD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14720672507,19213022691,24871775165,23775831783,31225463218,43598748449,49333424135,46622718605,42803323345,41807954236,40603650232,33943612095,36384908744,36275674203,41464995914,50701443748,51552165622,54239171888,55625170253,59305093980,65743666576,73571233996,78839008445,75674336283,84445473111,104337000000,103312000000,109816000000,124346000000,147824000000,180617000000,222117000000,257916000000,315475000000,253547000000,289787000000,350666000000,374591000000,390108000000,403137000000,358135000000,357045000000,382575000000,414179000000,NA,"Middle East & North Africa","High income","United Arab Emirates"
"8","Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD",NA,NA,24450604878,18272123664,25605249382,28344705967,28630474728,24256667553,26436857247,31256284544,31584210366,33293199095,34733000536,52544000117,72436777342,52438647922,51169499891,56781000101,58082870156,69252328953,76961923742,78676842366,84307486837,103979000000,79092001998,88416668900,110934000000,111106000000,126207000000,76636898036,141352000000,189720000000,228789000000,236742000000,257440000000,258032000000,272150000000,292859000000,298948000000,283523000000,284204000000,268697000000,97724004252,127587000000,164658000000,198737000000,232557000000,287531000000,361558000000,332976000000,423627000000,530163000000,545982000000,552025000000,526320000000,594749000000,557531000000,642696000000,518475000000,NA,"Latin America & Caribbean","Upper middle income","Argentina"
"9","Armenia","ARM","GDP (current US$)","NY.GDP.MKTP.CD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2256838858,2068526522,1272577456,1201313201,1315158670,1468317350,1596968913,1639492424,1893726437,1845482181,1911563665,2118467913,2376335048,2807061009,3576615240,4900469950,6384451606,9206301700,11662040714,8647936748,9260284938,10142111334,10619320049,11121465767,11609512940,10553337673,10546135160,11527458566,12433089919,NA,"Europe & Central Asia","Upper middle income","Armenia"
"10","American Samoa","ASM","GDP (current US$)","NY.GDP.MKTP.CD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,514000000,527000000,512000000,503000000,496000000,520000000,563000000,678000000,576000000,574000000,644000000,641000000,643000000,661000000,653000000,634000000,NA,NA,"East Asia & Pacific","Upper middle income","American Samoa"
"11","Antigua and Barbuda","ATG","GDP (current US$)","NY.GDP.MKTP.CD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77496753.7,87879341.48,109079978.9,131431026.7,147841734.4,164369278.9,182144093,208372846.3,240923924.8,290440140.7,337174861.9,398637727.8,438794788.5,459469058.9,481706333.3,499281148.1,535172777.8,589429592.6,577280740.7,633730629.6,680617111.1,727860592.6,766198925.9,830158777.8,800740259.3,814615333.3,855643111.1,919577148.1,1022191296,1157005444,1311401333,1368431037,1224253000,1152469074,1142042926,1211411704,1192919630,1275576778,1359194741,1464630213,1510084751,1623804016,NA,"Latin America & Caribbean","High income","Antigua and Barbuda"
"12","Australia","AUS","GDP (current US$)","NY.GDP.MKTP.CD",18577668272,19653936611,19892485161,21507447643,23764139321,25937954978,27268451114,30397580916,32665472057,36628961810,41271138985,45149512823,51967289720,63738629084,88831245394,97171924075,104921000000,110202000000,118340000000,134712000000,149776000000,176643000000,193771000000,177030000000,193242000000,180235000000,182038000000,189059000000,235661000000,299264000000,310775000000,325306000000,324873000000,311539000000,322209000000,367216000000,400303000000,434568000000,398899000000,388608000000,415223000000,378376000000,394649000000,466488000000,612490000000,693408000000,746054000000,853100000000,1054000000000,927805000000,1146140000000,1396650000000,1546150000000,1576180000000,1467480000000,1351520000000,1210030000000,1330800000000,1432200000000,NA,"East Asia & Pacific","High income","Australia"
"13","Austria","AUT","GDP (current US$)","NY.GDP.MKTP.CD",6592693841,7311749633,7756110210,8374175258,9169983886,9994070616,10887682273,11579431669,12440625313,13582798556,15373005769,17858485957,22059612417,29515467988,35189299985,40059206763,42959976068,51545759221,62052258694,73937296655,82058912465,71034228097,71275287328,72121016623,67985345162,69386774475,99036165210,124168000000,133339000000,133106000000,166463000000,173794000000,195078000000,190380000000,203535000000,241038000000,237251000000,212790000000,218260000000,217186000000,196800000000,197338000000,213378000000,261696000000,300904000000,315974000000,335999000000,388691000000,430294000000,400172000000,391893000000,431120000000,409425000000,430069000000,441996000000,381806000000,394053000000,416836000000,455737000000,NA,"Europe & Central Asia","High income","Austria"
