Country,Source,1990,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,
,,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,U,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,0.8,,0.8,,5.6,,7.3,,7.3,,...,,...,,...,,...,,...,
Algeria,U,...,,...,,...,,...,,...,,...,,30.0,,30.0,,32.0,,32.0,,39.0,,39.0,,45.0,,48.0,,53.0,,56.0,,60.0,,61.0,,65.0,,...,,...,
Andorra,U,...,,...,,...,,...,,...,,3.7,,3.6,,3.5,,17.1,,19.6,,31.1,,47.7,,86.4,,98.0,,98.0,,98.0,,98.0,,100.0,,100.0,,...,,...,
Angola,U,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,17.8,,...,,...,,...,
Argentina,U,...,,...,,...,,...,,...,,...,,...,,42.5,,...,,...,,...,,...,,...,,...,,...,,...,,50.2,,...,,...,,...,,...,
Armenia,U,32.6,,32.7,,...,,...,,...,,...,,32.8,,32.8,,34.3,,34.3,,34.3,,34.3,,34.3,,34.3,,34.3,,34.3,,34.3,,34.3,,34.3,,...,,...,
Austria,O,72.0,,74.9,,...,,...,,80.9,,...,,85.4,,86.0,,86.0,,88.9,,88.9,,...,,91.8,  1,...,,92.7,  1,...,,93.9,  1,...,,94.5,,...,,...,
Azerbaijan,U,...,,...,,...,,...,,...,,...,,...,,...,,...,,13.1,,13.5,,13.6,,13.6,,13.9,,13.8,,14.1,,14.1,,14.1,,14.4,,...,,...,
Bahrain,U,58.0,,64.0,,65.0,,66.0,,69.0,,71.0,,74.0,,75.0,,77.0,,79.0,,83.0,,86.0,,87.0,,88.0,,...,,...,,...,,...,,...,,...,,...,
Belarus,U,...,,...,,94.1,  2,90.2,  2,91.0,  2,92.9,  2,90.1,  2,90.1,  2,94.0,  2,92.8,  2,90.8,  2,98.3,  2,96.1,  2,94.9,  2,...,,...,,...,,...,,...,,...,,...,
Belgium,O,...,,28.9,,30.3,,34.6,,38.0,,38.7,,41.2,  1,45.7,  1,47.6,  1,51.4,  1,53.2,  1,54.4,  1,57.4,  1,68.7,  1,71.0,  1,72.8,  1,75.0,,77.2,,81.4,,84.2,,...,
Belize,U,...,,...,,...,,...,,...,,...,,15.1,,...,,...,,...,,...,,...,,...,,...,,...,,...,,10.6,,...,,...,,...,,...,
Bermuda,U,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,5.0,,5.0,,5.0,,5.0,,5.0,,...,,...,,...,,...,,...,
Bosnia and Herzegovina,U,...,,...,,...,,...,,...,,...,,...,,1.5,,1.5,,1.6,,1.6,,1.6,,1.7,,1.7,,1.8,,1.8,,1.8,,1.9,,4.5,,...,,...,
British Virgin Islands,U,...,,...,,...,,...,,...,,...,,...,,24.5,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,
Bulgaria,E,...,,35.7,,35.6,,35.7,,35.9,,36.3,,36.9,,38.3,,38.8,,40.1,,40.5,,40.8,,41.4,,42.3,,43.9,,45.3,,47.8,,55.8,,56.1,,56.4,,...,
Cabo Verde,U,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,21.0,,...,,...,
Canada,O,...,,...,,69.8,  1,...,,...,,71.7,  1,...,,...,,...,,...,,87.2,,...,,86.4,,...,,...,,84.3,  3,...,,...,,...,,...,,...,
Chile,O,...,,...,,...,,...,,...,,...,,20.9,,39.4,,42.2,,65.7,,71.6,  1,73.3,  1,82.0,  1,82.3,  1,82.6,  1,83.3,  1,86.9,  1,90.6,  1,100.0,,99.9,,...,
China,U,...,,...,,...,,...,,...,,...,,...,,20.8,,24.3,,27.5,,32.5,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,
