"Country or Area","Year","Value","Value Footnotes","Unit"
"Albania","2015","32711","","million cubic metres"
"Albania","2014","37172","","million cubic metres"
"Albania","2013","30615","","million cubic metres"
"Albania","2012","28058","","million cubic metres"
"Albania","2011","30569","","million cubic metres"
"Albania","2010","33134","","million cubic metres"
"Albania","2009","36218","","million cubic metres"
"Albania","2008","29458","","million cubic metres"
"Albania","2007","30964","","million cubic metres"
"Albania","2006","32380","","million cubic metres"
"Albania","2005","32840","","million cubic metres"
"Albania","2004","32787","","million cubic metres"
"Albania","2003","27893","","million cubic metres"
"Albania","2002","35883","","million cubic metres"
"Albania","2001","30491","","million cubic metres"
"Albania","2000","30683","","million cubic metres"
"Albania","1999","38284","","million cubic metres"
"Albania","1995","40311","","million cubic metres"
"Albania","1990","28385","","million cubic metres"
"Algeria","2015","106806.1015625","","million cubic metres"
"Algeria","2014","116961.5","","million cubic metres"
"Algeria","2013","147574","","million cubic metres"
"Algeria","2012","80000","","million cubic metres"
"Algeria","2011","100000","","million cubic metres"
"Algeria","2010","100000","","million cubic metres"
"Algeria","2009","100000","","million cubic metres"
"Algeria","2008","100000","","million cubic metres"
"Algeria","2007","100000","","million cubic metres"
"Algeria","2006","100000","","million cubic metres"
"Algeria","2005","90000","","million cubic metres"
"Algeria","2004","90000","","million cubic metres"
"Algeria","2003","90000","","million cubic metres"
"Algeria","2002","80000","","million cubic metres"
"Algeria","2001","80000","","million cubic metres"
"Algeria","2000","64430","","million cubic metres"
"Algeria","1999","50150","","million cubic metres"
"Algeria","1998","66470","","million cubic metres"
"Algeria","1997","74460","","million cubic metres"
"Algeria","1996","53380","","million cubic metres"
"Algeria","1995","90270","","million cubic metres"
"Algeria","1990","76160","","million cubic metres"
"Andorra","2015","474.738006591797","1","million cubic metres"
"Andorra","2014","551.698852539063","1","million cubic metres"
"Andorra","2013","482.620849609375","1","million cubic metres"
"Andorra","2012","352.952514648438","2","million cubic metres"
"Andorra","2011","355.033874511719","2","million cubic metres"
"Andorra","2010","423.630004882813","2","million cubic metres"
"Andorra","2009","464.013122558594","2","million cubic metres"
"Andorra","2008","466.674468994141","2","million cubic metres"
"Andorra","2007","306.456237792969","2","million cubic metres"
"Andorra","2006","353.013305664063","2","million cubic metres"
"Andorra","2005","360.815032958984","","million cubic metres"
"Andorra","2004","359.955261230469","","million cubic metres"
"Andorra","2003","470.812042236328","","million cubic metres"
"Andorra","2002","518.260681152344","","million cubic metres"
"Andorra","2001","427.232391357422","","million cubic metres"
"Andorra","2000","489.565795898438","","million cubic metres"
"Andorra","1999","480.914367675781","","million cubic metres"
"Andorra","1998","361.244934082031","","million cubic metres"
"Andorra","1997","444.750213623047","","million cubic metres"
"Andorra","1996","625.167846679688","","million cubic metres"
"Andorra","1995","424.851898193359","","million cubic metres"
"Andorra","1990","471.779296875","","million cubic metres"
"Anguilla","2009","71.0800018310547","","million cubic metres"
"Anguilla","2008","96.8899993896484","","million cubic metres"
"Anguilla","2007","86.2900009155273","","million cubic metres"
"Anguilla","2006","99.5500030517578","","million cubic metres"
"Anguilla","2005","124.400001525879","","million cubic metres"
"Anguilla","2004","84.25","","million cubic metres"
"Anguilla","2003","108.769996643066","","million cubic metres"
"Anguilla","2002","68.1900024414063","","million cubic metres"
"Anguilla","2001","70.7300033569336","","million cubic metres"
"Anguilla","2000","68.1900024414063","","million cubic metres"
"Anguilla","1995","100.730003356934","","million cubic metres"
"Anguilla","1990","93.0999984741211","","million cubic metres"
"Antigua and Barbuda","2015","161.100006103516","","million cubic metres"
"Antigua and Barbuda","2014","257.5","","million cubic metres"
"Antigua and Barbuda","2013","328.200012207031","","million cubic metres"
"Antigua and Barbuda","2012","279.700012207031","","million cubic metres"
"Antigua and Barbuda","2011","450.200012207031","","million cubic metres"
"Antigua and Barbuda","2010","463.899993896484","","million cubic metres"
"Antigua and Barbuda","2009","276.899993896484","","million cubic metres"
"Antigua and Barbuda","2008","392.5","","million cubic metres"
"Antigua and Barbuda","2007","293.600006103516","","million cubic metres"
"Antigua and Barbuda","2006","332.799987792969","","million cubic metres"
"Antigua and Barbuda","2005","371","","million cubic metres"
"Antigua and Barbuda","2004","426.899993896484","","million cubic metres"
"Antigua and Barbuda","2003","253.899993896484","","million cubic metres"
"Antigua and Barbuda","2002","268.600006103516","","million cubic metres"
"Antigua and Barbuda","2001","238","","million cubic metres"
"Antigua and Barbuda","2000","249.600006103516","","million cubic metres"
"Antigua and Barbuda","1999","426.799987792969","","million cubic metres"
"Antigua and Barbuda","1998","384.5","","million cubic metres"
"Antigua and Barbuda","1997","279.200012207031","","million cubic metres"
"Antigua and Barbuda","1996","323.299987792969","","million cubic metres"
"Antigua and Barbuda","1995","374.5","","million cubic metres"
"Antigua and Barbuda","1994","283.799987792969","","million cubic metres"
"Antigua and Barbuda","1993","322.5","","million cubic metres"
"Antigua and Barbuda","1992","475.799987792969","","million cubic metres"
"Antigua and Barbuda","1991","264.399993896484","","million cubic metres"
"Antigua and Barbuda","1990","300.299987792969","","million cubic metres"
"Armenia","2015","18506","","million cubic metres"
"Armenia","2014","16493","","million cubic metres"
"Armenia","2013","16310","","million cubic metres"
"Armenia","2012","15997","","million cubic metres"
"Armenia","2011","19579","","million cubic metres"
"Armenia","2010","19447","","million cubic metres"
"Armenia","2009","17713","","million cubic metres"
"Armenia","2008","13378","","million cubic metres"
"Armenia","2007","19221","","million cubic metres"
"Armenia","2006","16658","","million cubic metres"
"Armenia","2005","18714","","million cubic metres"
"Armenia","2004","15287","","million cubic metres"
"Armenia","2003","18595","","million cubic metres"
"Armenia","2002","17761","","million cubic metres"
"Armenia","2001","12516","","million cubic metres"
"Armenia","2000","11264","","million cubic metres"
"Armenia","1999","14393","","million cubic metres"
"Armenia","1998","13559","","million cubic metres"
"Armenia","1997","18595","","million cubic metres"
"Armenia","1996","16777","","million cubic metres"
"Armenia","1995","15407","","million cubic metres"
"Armenia","1990","15794","","million cubic metres"
"Austria","2011","83256","","million cubic metres"
"Austria","2010","88872","","million cubic metres"
"Austria","2009","96576","","million cubic metres"
"Austria","2008","85243","","million cubic metres"
"Austria","2007","99493","","million cubic metres"
