Country Name,Country Code,2018
Aruba,ABW,180
Afghanistan,AFG,652860
Angola,AGO,1246700
Albania,ALB,27400
Andorra,AND,470
Arab World,ARB,11232647.01
United Arab Emirates,ARE,71020
Argentina,ARG,2736690
Armenia,ARM,28470
American Samoa,ASM,200
Antigua and Barbuda,ATG,440
Australia,AUS,7692020
Austria,AUT,82522.99805
Azerbaijan,AZE,82670
Burundi,BDI,25680
Belgium,BEL,30280
Benin,BEN,112760
Burkina Faso,BFA,273600
Bangladesh,BGD,130170
Bulgaria,BGR,108560
Bahrain,BHR,778.0000305
"Bahamas, The",BHS,10010
Bosnia and Herzegovina,BIH,51200
Belarus,BLR,202988.0078
Belize,BLZ,22810
Bermuda,BMU,54.00000095
Bolivia,BOL,1083300
Brazil,BRA,8358140
Barbados,BRB,430
Brunei Darussalam,BRN,5270
Bhutan,BTN,38143.99902
Botswana,BWA,566730
Central African Republic,CAF,622980
Canada,CAN,9093510
Central Europe and the Baltics,CEB,1105054.001
Switzerland,CHE,39516.00098
Channel Islands,CHI,197.9999924
Chile,CHL,743532.0313
China,CHN,9388210
Cote d'Ivoire,CIV,318000
Cameroon,CMR,472710
"Congo, Dem. Rep.",COD,2267050
"Congo, Rep.",COG,341500
Colombia,COL,1109500
Comoros,COM,1861.000061
Cabo Verde,CPV,4030
Costa Rica,CRI,51060
Caribbean small states,CSS,404850
Cuba,CUB,104020
Curacao,CUW,
Cayman Islands,CYM,240
Cyprus,CYP,9240
Czech Republic,CZE,77220
Germany,DEU,349360
Djibouti,DJI,23180
Dominica,DMA,750
Denmark,DNK,41990
Dominican Republic,DOM,48310
Algeria,DZA,2381740
East Asia & Pacific (excluding high income),EAP,15913500
Early-demographic dividend,EAR,33107752
East Asia & Pacific,EAS,24396748.4
Europe & Central Asia (excluding high income),ECA,22611288.01
Europe & Central Asia,ECS,27429224.59
Ecuador,ECU,248360
"Egypt, Arab Rep.",EGY,995450
Euro area,EMU,2678923.572
Eritrea,ERI,101000
Spain,ESP,499563.9844
Estonia,EST,43470
Ethiopia,ETH,1000000
European Union,EUU,4238693.572
Fragile and conflict affected situations,FCS,12922619.01
Finland,FIN,303910
Fiji,FJI,18270
France,FRA,547556.9922
Faroe Islands,FRO,1396.000061
"Micronesia, Fed. Sts.",FSM,700
Gabon,GAB,257670
United Kingdom,GBR,241930
Georgia,GEO,69490
Ghana,GHA,227540
Gibraltar,GIB,10
Guinea,GIN,245720
"Gambia, The",GMB,10120
Guinea-Bissau,GNB,28120
Equatorial Guinea,GNQ,28050
Greece,GRC,128900
Grenada,GRD,340
Greenland,GRL,410450
Guatemala,GTM,107160
Guam,GUM,540
Guyana,GUY,196850
High income,HIC,35144909.02
"Hong Kong SAR, China",HKG,1050
Honduras,HND,111890
Heavily indebted poor countries (HIPC),HPC,17378791
Croatia,HRV,55960
Haiti,HTI,27560
Hungary,HUN,90530
IBRD only,IBD,69378808.05
IDA & IBRD total,IBT,93329453.05
IDA total,IDA,23950645
IDA blend,IDB,5955820
Indonesia,IDN,1811570
IDA only,IDX,17994825
Isle of Man,IMN,570
India,IND,2973190
Not classified,INX,
Ireland,IRL,68890
"Iran, Islamic Rep.",IRN,1628760
Iraq,IRQ,434128.0078
Iceland,ISL,100250
Israel,ISR,21640
Italy,ITA,294140
Jamaica,JAM,10830
Jordan,JOR,88780
Japan,JPN,364560
Kazakhstan,KAZ,2699700
Kenya,KEN,569140
Kyrgyz Republic,KGZ,191800
Cambodia,KHM,176520
Kiribati,KIR,810
St. Kitts and Nevis,KNA,260
"Korea, Rep.",KOR,97489.00391
Kuwait,KWT,17820
Latin America & Caribbean (excluding high income),LAC,19018930
Lao PDR,LAO,230800
Lebanon,LBN,10230
Liberia,LBR,96320
Libya,LBY,1759540
St. Lucia,LCA,610
Latin America & Caribbean,LCN,20038832.03
Least developed countries: UN classification,LDC,17762825
Low income,LIC,13651370
Liechtenstein,LIE,160
Sri Lanka,LKA,62710
Lower middle income,LMC,20141755
Low & middle income,LMY,92198311.01
Lesotho,LSO,30360
Late-demographic dividend,LTE,44519022.03
Lithuania,LTU,62642.00195
Luxembourg,LUX,2430
Latvia,LVA,62180
"Macao SAR, China",MAC,30.39999962
St. Martin (French part),MAF,
Morocco,MAR,446300
Monaco,MCO,
Moldova,MDA,32890
