,location_id,location_name,sex_id,sex_name,age_group_id,age_group_name,year_id,measure_id,measure_name,metric_name,val,upper,lower
1,37,Kyrgyzstan,3,Both,22,All Ages,2005,44,Population,Number,5270133.995,5783309.463,4778279.805
2,37,Kyrgyzstan,3,Both,22,All Ages,2006,44,Population,Number,5329275.062,5771308.432,4879145.206
3,37,Kyrgyzstan,3,Both,22,All Ages,2007,44,Population,Number,5394681.179,5856978.857,4996661.69
4,37,Kyrgyzstan,3,Both,22,All Ages,2008,44,Population,Number,5467619.532,5889898.451,5044937.534
5,37,Kyrgyzstan,3,Both,22,All Ages,2009,44,Population,Number,5549494.749,5923407.778,5152733.496
6,40,Turkmenistan,3,Both,22,All Ages,2005,44,Population,Number,4356474.068,4913411.905,3812221.633
7,40,Turkmenistan,3,Both,22,All Ages,2006,44,Population,Number,4386049.913,4956297.317,3828493.286
8,40,Turkmenistan,3,Both,22,All Ages,2007,44,Population,Number,4419690.204,4934451.925,3884028.839
9,40,Turkmenistan,3,Both,22,All Ages,2008,44,Population,Number,4459306.954,4954642.852,3962927.989
10,40,Turkmenistan,3,Both,22,All Ages,2009,44,Population,Number,4505923.427,4962745.176,3984083.758
11,45,Bulgaria,3,Both,22,All Ages,2005,44,Population,Number,7720109.276,7765353.162,7675120.997
12,45,Bulgaria,3,Both,22,All Ages,2006,44,Population,Number,7679204.932,7724874.613,7634177.909
13,45,Bulgaria,3,Both,22,All Ages,2007,44,Population,Number,7634126.146,7680678.599,7590340.292
14,45,Bulgaria,3,Both,22,All Ages,2008,44,Population,Number,7581815.576,7627858.79,7534229.455
15,45,Bulgaria,3,Both,22,All Ages,2009,44,Population,Number,7518386.567,7562075.326,7473759.195
16,47,CzechRepublic,3,Both,22,All Ages,2005,44,Population,Number,10280515.28,10354297.12,10206636.88
17,47,CzechRepublic,3,Both,22,All Ages,2006,44,Population,Number,10311579.73,10385472.95,10236850.94
18,47,CzechRepublic,3,Both,22,All Ages,2007,44,Population,Number,10350317.55,10422531.73,10275278.77
19,47,CzechRepublic,3,Both,22,All Ages,2008,44,Population,Number,10392941.33,10472754.14,10317353.29
20,47,CzechRepublic,3,Both,22,All Ages,2009,44,Population,Number,10434347.33,10508847.47,10356631.4
21,48,Hungary,3,Both,22,All Ages,2005,44,Population,Number,10054889.39,10965471.81,9123901.222
22,48,Hungary,3,Both,22,All Ages,2006,44,Population,Number,10029911.95,11049608.1,9037255.542
23,48,Hungary,3,Both,22,All Ages,2007,44,Population,Number,10006387.75,10959697.51,9067532.401
24,48,Hungary,3,Both,22,All Ages,2008,44,Population,Number,9983114.529,10848576.66,9085242.552
25,48,Hungary,3,Both,22,All Ages,2009,44,Population,Number,9958763.045,10797613.25,9112613.043
26,51,Poland,3,Both,22,All Ages,2005,44,Population,Number,38479302.01,41219363.84,35535325.81
27,51,Poland,3,Both,22,All Ages,2006,44,Population,Number,38425545.03,38680174.8,38178253.4
28,51,Poland,3,Both,22,All Ages,2007,44,Population,Number,38393908.12,38644507.97,38127033.15
29,51,Poland,3,Both,22,All Ages,2008,44,Population,Number,38390732.21,38667067.07,38115533.82
30,51,Poland,3,Both,22,All Ages,2009,44,Population,Number,38410423.89,38666754.9,38147745.3
31,53,Serbia,3,Both,22,All Ages,2005,44,Population,Number,9248193.699,10098666.14,8370526.183
32,53,Serbia,3,Both,22,All Ages,2006,44,Population,Number,9204834.122,10111847.38,8350172.563
33,53,Serbia,3,Both,22,All Ages,2007,44,Population,Number,9151691.979,9978160.958,8316818.997
34,53,Serbia,3,Both,22,All Ages,2008,44,Population,Number,9080018.726,9837028.032,8236279.237
35,53,Serbia,3,Both,22,All Ages,2009,44,Population,Number,9035184.586,9758968.466,8321097.144
36,58,Estonia,3,Both,22,All Ages,2005,44,Population,Number,1358740.365,1367937.637,1349550.579
37,58,Estonia,3,Both,22,All Ages,2006,44,Population,Number,1351105.131,1360028.641,1341950.031
38,58,Estonia,3,Both,22,All Ages,2007,44,Population,Number,1344387.422,1353284.122,1335402.45
39,58,Estonia,3,Both,22,All Ages,2008,44,Population,Number,1339243.085,1348446.731,1329559.349
40,58,Estonia,3,Both,22,All Ages,2009,44,Population,Number,1335423.959,1345332.705,1326293.43
41,59,Latvia,3,Both,22,All Ages,2005,44,Population,Number,2271871.427,2439590.417,2094092.862
42,59,Latvia,3,Both,22,All Ages,2006,44,Population,Number,2240378.42,2254226.405,2226312.889
43,59,Latvia,3,Both,22,All Ages,2007,44,Population,Number,2209036.036,2222755.957,2195634.658
44,59,Latvia,3,Both,22,All Ages,2008,44,Population,Number,2178981.546,2194551.458,2164100.856
45,59,Latvia,3,Both,22,All Ages,2009,44,Population,Number,2149006.059,2163828.586,2134877.527
46,61,Moldova,3,Both,22,All Ages,2005,44,Population,Number,4017007.876,4307568.567,3710395.942
47,61,Moldova,3,Both,22,All Ages,2006,44,Population,Number,3982937.315,4273446.142,3684577.949
48,61,Moldova,3,Both,22,All Ages,2007,44,Population,Number,3951753.547,4287092.868,3617539.401
49,61,Moldova,3,Both,22,All Ages,2008,44,Population,Number,3923186.214,4312907.502,3570004.54
50,61,Moldova,3,Both,22,All Ages,2009,44,Population,Number,3896288.867,4269877.912,3484944.019
51,63,Ukraine,3,Both,22,All Ages,2005,44,Population,Number,47822353.56,51980935.7,43604013.69
52,63,Ukraine,3,Both,22,All Ages,2006,44,Population,Number,47444175.01,52321017.05,42796913.73
53,63,Ukraine,3,Both,22,All Ages,2007,44,Population,Number,47095471.69,52385681.88,42093678.89
54,63,Ukraine,3,Both,22,All Ages,2008,44,Population,Number,46763594.23,52010498.53,41858760.6
55,63,Ukraine,3,Both,22,All Ages,2009,44,Population,Number,46486207.99,52042507.02,41242039.92
56,71,Australia,3,Both,22,All Ages,2005,44,Population,Number,20083930.7,21481512.98,18572234
57,71,Australia,3,Both,22,All Ages,2006,44,Population,Number,20360582.01,21661629.73,18853776.66
58,71,Australia,3,Both,22,All Ages,2007,44,Population,Number,20653230.27,22179277.1,19170930.83
59,71,Australia,3,Both,22,All Ages,2008,44,Population,Number,20959824.2,22532163.9,19194604.25
60,71,Australia,3,Both,22,All Ages,2009,44,Population,Number,21275945.14,22993557.48,19515566.61
61,72,NewZealand,3,Both,22,All Ages,2005,44,Population,Number,4040379.368,4354506.722,3755014.054
62,72,NewZealand,3,Both,22,All Ages,2006,44,Population,Number,4096493.534,4382624.102,3815237.43
63,72,NewZealand,3,Both,22,All Ages,2007,44,Population,Number,4146699.895,4438300.046,3844253.645
64,72,NewZealand,3,Both,22,All Ages,2008,44,Population,Number,4191620.727,4522757.512,3846350.276
65,72,NewZealand,3,Both,22,All Ages,2009,44,Population,Number,4231139.742,4603442.669,3864278.35
66,67,Japan,3,Both,22,All Ages,2005,44,Population,Number,129813616.2,138034425.9,120522186.9
67,67,Japan,3,Both,22,All Ages,2006,44,Population,Number,129871723,139080213.5,119374708.7
68,67,Japan,3,Both,22,All Ages,2007,44,Population,Number,129936842.1,141036604.5,118819301.6
69,67,Japan,3,Both,22,All Ages,2008,44,Population,Number,129978194.4,140245163.5,119750402
70,67,Japan,3,Both,22,All Ages,2009,44,Population,Number,129987037.8,139786609.3,120265362.4
71,68,Korea,3,Both,22,All Ages,2005,44,Population,Number,47823051.95,50963542.95,44528213
72,68,Korea,3,Both,22,All Ages,2006,44,Population,Number,48046501.85,51496660.29,44833886.02
73,68,Korea,3,Both,22,All Ages,2007,44,Population,Number,48305984.16,52275578.06,44625763.06
74,68,Korea,3,Both,22,All Ages,2008,44,Population,Number,48603327.14,52940960.66,44543380.92
75,68,Korea,3,Both,22,All Ages,2009,44,Population,Number,48946851.29,52579682.23,45334031.91
76,102,UnitedStates,3,Both,22,All Ages,2005,44,Population,Number,294467458,325404754.5,264323888.3
77,102,UnitedStates,3,Both,22,All Ages,2006,44,Population,Number,297375222,324202328.1,269505266.2
78,102,UnitedStates,3,Both,22,All Ages,2007,44,Population,Number,300379818.1,326261413,274591544.8
79,102,UnitedStates,3,Both,22,All Ages,2008,44,Population,Number,303351584.6,326681559.7,279209574.8
80,102,UnitedStates,3,Both,22,All Ages,2009,44,Population,Number,306194150,330067962.1,282022605.6
81,97,Argentina,3,Both,22,All Ages,2005,44,Population,Number,38934366.8,42547815.15,35382292.66
82,97,Argentina,3,Both,22,All Ages,2006,44,Population,Number,39356124.56,43170986.83,35556287.01
83,97,Argentina,3,Both,22,All Ages,2007,44,Population,Number,39767818.58,43198335.72,36264571.88
